Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12801551,Veniamin_Nelin,"2025-03-31 13:20:19",1.00000,57,veniaminnelin
2,13266017,"[Deleted] 4fd7c3d6-bc7d-48b3-af42-74f3b7089f40","2025-01-31 10:23:08",1.00000,1,del=956597ecfec29369
3,6497188,"mos3 santos","2025-03-31 00:50:38",1.00000,262,mos3santos
4,13281342,"Nathan Kindo","2025-02-01 02:18:41",1.00000,3,nathankindo
5,13248513,"Jayaraju Gorle","2025-03-28 14:47:20",1.00000,34,gorlej
6,13284769,"Raluca Sandu Prisacaru","2025-02-01 21:26:48",1.00000,5,ralucasanduprisacaru
7,13269276,"Oğuzhan Erbil","2025-02-04 08:16:41",1.00000,45,cabbar14ylnce
8,13296257,"Amr El3RAB","2025-02-04 20:00:10",1.00000,3,el3rab
9,13296523,"Hugo Barthélemy","2025-02-04 21:20:50",1.00000,2,hugobarthlemy
10,13297601,"Charlie #15","2025-02-05 03:35:56",1.00000,3,charliess
11,13140740,"Sanjid Hasan","2025-02-05 19:10:04",1.00000,2,sanjidh090
12,13301625,"ruo-ning wu","2025-02-06 00:13:47",1.00000,3,ruoningwu
13,13302288,"Li Jiang #3","2025-02-06 05:06:17",1.00000,3,lijiang1
14,13306156,"Chun-Yueh Lin","2025-02-06 22:11:01",1.00000,3,chunyuehlin
15,13309688,"Zhaoyi Zhuang","2025-02-07 15:36:31",1.00000,3,zhaoyizhuang
16,13309992,"Chengwei Chen","2025-02-07 17:03:22",1.00000,3,ccwiris
17,13310744,"Jordan Schwertner","2025-02-07 21:45:35",1.00000,1,jordanschwertner
18,13314081,"TTT #2","2025-02-08 16:05:33",1.00000,3,tzuchuantsai
19,13315173,"Yue Ying","2025-02-09 00:59:48",1.00000,3,yuecherryying
20,13315216,"Xuxin Wu","2025-02-09 01:32:26",1.00000,3,xuxinwu
21,13318354,"Yu Fan","2025-02-10 00:42:07",1.00000,3,yuflee
22,3853565,"Gloria Shen","2025-02-10 03:12:41",1.00000,3,gloriashen
23,13318894,"Pavan Kothawade","2025-02-10 04:35:16",1.00000,3,pavankothawade
24,13319835,"Xi Zhang #3","2025-02-10 08:57:48",1.00000,3,xiz5213
25,13321259,"Fuyao Wang","2025-02-10 14:56:58",1.00000,3,fuyaowang
26,13321312,"Krishna Sumanth Chanda","2025-02-10 15:08:43",1.00000,3,krishnasumanthchanda
27,13321739,"MINNI BIN","2025-02-10 16:53:15",1.00000,3,minnibin
28,13321758,"Sandeep Kunwar #2","2025-02-10 17:14:47",1.00000,4,skunwar123
29,13321864,nicknicknigel,"2025-02-10 17:35:36",1.00000,2,nicknicknigel
30,13321912,SauravKum,"2025-02-10 17:40:59",1.00000,2,sauravkum
31,13321944,"Martin Highland","2025-02-10 17:48:10",1.00000,2,martinhighland
32,13321956,"Asher Lockhead","2025-02-10 17:50:46",1.00000,2,asherlockhead
33,13321997,"Serene Saha","2025-02-10 18:04:57",1.00000,2,serenesaha
34,13322022,"Xiaoxi Qi","2025-02-10 18:08:37",1.00000,3,xiaoxiqi
35,13322024,"Alka Tiwary","2025-02-10 18:08:46",1.00000,1,alkatiwary
36,13322106,"Yikang Chenxiong","2025-02-10 18:34:13",1.00000,4,yikangchenxiong
37,13322276,"Shiyi Chen","2025-02-10 19:18:37",1.00000,3,cassiechen97
38,13322378,"Johnson Liang Tan","2025-02-10 19:52:02",1.00000,4,johnsonliangtan
39,13322538,"Yiming Yu1127","2025-02-10 20:40:44",1.00000,3,yimingyu1127
40,13322574,ZongyiZhang0125,"2025-02-10 20:51:52",1.00000,3,zongyizhang0125
41,13322649,"Nissar Kotadia","2025-02-10 21:19:25",1.00000,3,nissarkotadia
42,13322730,TianYu_Wong_2025,"2025-02-10 21:53:26",1.00000,3,tianyuwong2025
43,13322747,"Caroline Francoo","2025-02-15 15:48:20",1.00000,4,carolinefrancoo
44,13322695,"Weiyi Huang","2025-02-10 22:02:25",1.00000,3,kevhua888
45,13323009,"HENGYI YU","2025-02-10 23:53:27",1.00000,3,hengyiyu
46,13323190,"Hissamuddin Shaikh","2025-02-11 01:14:28",1.00000,3,hissamuddinshaikh
47,13323210,"Kelu Yin","2025-02-11 01:18:28",1.00000,4,keluyin
48,13323359,"BinKen Pang","2025-02-11 02:12:48",1.00000,3,binkenpang
49,13323422,"Ziang Wang","2025-02-11 02:40:29",1.00000,3,zdavidwang
